r_id,pais,ed,jc10,aoj11,q1,aoj12,b18,infrax,e16,aoj22,q3c,q5b,q10new_14,etid,vic1ext,vicbar7
57,Mexico,12,1,Somewhat Safe,Female,None,3,More than 1 hour and up to 3 hours,5,Implement preventative measures,Catholic,Not Very Important,5,Mestizo,0,0
58,Mexico,17,0,Somewhat Safe,Male,A lot,5,Less than 10 minutes,8,Implement preventative measures,None (Believes in a Supreme Entity but does not belong to any religion),Not Very Important,NA,Mestizo,0,0
59,Mexico,12,0,Somewhat Safe,Female,Some,4,More than 1 hour and up to 3 hours,1,Implement preventative measures,Catholic,Very Important,10,Mestizo,1,0
60,Mexico,9,0,Somewhat Unsafe,Female,Little,2,Between 10 and 30 minutes,2,Increase punishment of criminal,Catholic,Not Very Important,4,Mestizo,0,1
61,Mexico,6,0,Somewhat Unsafe,Female,Little,4,[Don't Read] There are no police/they would not come,8,Increase punishment of criminal,Catholic,Very Important,1,White,0,1
62,Mexico,6,0,Very Safe,Male,Little,4,[Don't Read] There are no police/they would not come,8,Increase punishment of criminal,Catholic,Not Important at All,2,Don't Know,0,0
63,Mexico,8,1,Somewhat Safe,Female,Some,1,[Don't Read] There are no police/they would not come,6,Both,"Protestant, Mainline Protestant or Protestant non-Evangelical",Very Important,5,Mestizo,1,1
64,Mexico,9,1,Somewhat Unsafe,Male,A lot,5,More than 1 hour and up to 3 hours,6,Increase punishment of criminal,Catholic,Somewhat Important,9,Indigenous,0,0
65,Mexico,6,0,Somewhat Safe,Male,Little,2,More than 1 hour and up to 3 hours,4,Increase punishment of criminal,Catholic,Somewhat Important,6,Don't Know,0,0
66,Mexico,9,1,Somewhat Unsafe,Male,None,1,[Don't Read] There are no police/they would not come,10,Implement preventative measures,Catholic,Not Very Important,6,White,0,0
67,Mexico,9,1,Somewhat Safe,Female,A lot,4,More than 3 hours,2,Don't Know,Catholic,Somewhat Important,5,White,0,0
68,Mexico,17,0,Somewhat Safe,Male,A lot,7,Between 10 and 30 minutes,5,Implement preventative measures,Catholic,Very Important,12,Mestizo,0,0
69,Mexico,2,1,Very Unsafe,Female,None,1,More than 30 minutes and up to an hour,7,Implement preventative measures,Catholic,Very Important,14,Don't Know,1,0
70,Mexico,6,0,Somewhat Safe,Female,None,2,Less than 10 minutes,10,Increase punishment of criminal,Catholic,Very Important,5,Mestizo,1,1
71,Mexico,6,0,Somewhat Safe,Female,Some,5,Between 10 and 30 minutes,6,Increase punishment of criminal,Catholic,Not Very Important,7,Don't Know,0,0
72,Mexico,9,1,Somewhat Unsafe,Male,A lot,2,More than 30 minutes and up to an hour,5,Both,Catholic,Very Important,10,Indigenous,0,0
73,Mexico,9,NA,Very Unsafe,Female,Little,1,More than 1 hour and up to 3 hours,7,Implement preventative measures,Catholic,Very Important,3,White,0,0
74,Mexico,6,1,Somewhat Unsafe,Male,Little,1,More than 1 hour and up to 3 hours,9,Increase punishment of criminal,Catholic,Not Very Important,6,Don't Know,0,0
75,Mexico,12,0,Very Unsafe,Female,Some,1,[Don't Read] There are no police/they would not come,1,Both,Catholic,Very Important,14,Indigenous,0,0
76,Mexico,11,0,Somewhat Safe,Male,Little,3,More than 30 minutes and up to an hour,5,Increase punishment of criminal,Catholic,Somewhat Important,13,Mestizo,1,1
77,Mexico,12,0,Somewhat Safe,Male,Little,3,More than 30 minutes and up to an hour,1,Increase punishment of criminal,Catholic,Somewhat Important,15,Mestizo,0,0
78,Mexico,3,0,Somewhat Safe,Male,Some,5,Between 10 and 30 minutes,5,Increase punishment of criminal,None (Believes in a Supreme Entity but does not belong to any religion),Somewhat Important,7,Mestizo,0,NA
79,Mexico,17,0,Somewhat Unsafe,Male,Little,2,[Don't Read] There are no police/they would not come,1,Implement preventative measures,Catholic,Not Very Important,13,Indigenous,1,1
80,Mexico,6,1,Somewhat Unsafe,Male,None,1,Less than 10 minutes,4,Implement preventative measures,Evangelical and Protestant,Very Important,10,White,0,1
81,Mexico,9,1,Somewhat Safe,Male,Little,1,More than 30 minutes and up to an hour,6,No Response,Catholic,Very Important,3,Mestizo,1,0
82,Mexico,9,1,Somewhat Unsafe,Male,None,3,More than 30 minutes and up to an hour,6,Increase punishment of criminal,Catholic,Somewhat Important,6,Mestizo,1,1
83,Mexico,9,0,Somewhat Unsafe,Female,Little,4,Between 10 and 30 minutes,2,Both,Catholic,Somewhat Important,9,Don't Know,0,0
84,Mexico,9,0,Somewhat Safe,Male,Little,5,Less than 10 minutes,1,Both,"Protestant, Mainline Protestant or Protestant non-Evangelical",Very Important,16,Mestizo,0,0
85,Mexico,17,0,Somewhat Unsafe,Male,Little,4,Between 10 and 30 minutes,1,Implement preventative measures,"Protestant, Mainline Protestant or Protestant non-Evangelical",Very Important,16,Mestizo,0,1
86,Mexico,12,0,Somewhat Safe,Male,Little,4,Between 10 and 30 minutes,5,Increase punishment of criminal,Catholic,Not Very Important,2,Mestizo,0,NA
87,Mexico,18,1,Somewhat Safe,Male,None,5,More than 30 minutes and up to an hour,5,Increase punishment of criminal,None (Believes in a Supreme Entity but does not belong to any religion),Not Very Important,11,Mestizo,0,0
88,Mexico,12,0,Somewhat Unsafe,Male,None,5,Between 10 and 30 minutes,1,Implement preventative measures,None (Believes in a Supreme Entity but does not belong to any religion),Not Important at All,13,Mestizo,0,0
89,Mexico,6,1,Somewhat Unsafe,Male,Some,1,[Don't Read] There are no police/they would not come,3,Both,Catholic,Somewhat Important,14,Mestizo,0,1
90,Mexico,2,NA,Very Unsafe,Female,Some,5,More than 1 hour and up to 3 hours,2,Increase punishment of criminal,Catholic,Very Important,7,Mestizo,0,0
91,Mexico,7,NA,Somewhat Safe,Female,Some,2,More than 30 minutes and up to an hour,2,Increase punishment of criminal,Catholic,Somewhat Important,8,Mestizo,0,0
92,Mexico,6,0,Somewhat Unsafe,Female,None,6,[Don't Read] There are no police/they would not come,1,Implement preventative measures,Catholic,Very Important,5,White,0,0
93,Mexico,10,0,Somewhat Safe,Female,Little,5,More than 30 minutes and up to an hour,1,Implement preventative measures,Catholic,Very Important,12,Mestizo,0,0
94,Mexico,12,1,Somewhat Unsafe,Male,Little,5,Less than 10 minutes,3,Increase punishment of criminal,Catholic,Somewhat Important,10,Mestizo,0,0
95,Mexico,1,0,Somewhat Unsafe,Female,No Response,5,Between 10 and 30 minutes,4,Increase punishment of criminal,Catholic,Very Important,11,Mestizo,0,0
96,Mexico,16,0,Somewhat Safe,Female,None,2,More than 30 minutes and up to an hour,5,Increase punishment of criminal,Catholic,Not Very Important,15,Mestizo,1,1
97,Mexico,6,NA,Somewhat Safe,Female,Some,7,Less than 10 minutes,NA,Increase punishment of criminal,Catholic,Very Important,NA,Mestizo,0,0
98,Mexico,9,0,Very Safe,Female,Little,1,More than 30 minutes and up to an hour,1,Implement preventative measures,Catholic,Very Important,2,Don't Know,1,0
99,Mexico,18,1,Somewhat Safe,Male,Some,5,More than 30 minutes and up to an hour,1,Increase punishment of criminal,Catholic,Very Important,11,White,0,0
100,Mexico,9,0,Very Unsafe,Female,Little,3,Between 10 and 30 minutes,2,Implement preventative measures,Catholic,Somewhat Important,12,Mestizo,0,0
101,Mexico,11,0,Somewhat Unsafe,Male,Some,4,Between 10 and 30 minutes,1,Implement preventative measures,Catholic,Somewhat Important,4,Mestizo,0,0
102,Mexico,6,0,Somewhat Safe,Female,A lot,5,More than 30 minutes and up to an hour,1,Implement preventative measures,Catholic,Very Important,5,Indigenous,0,0
103,Mexico,5,0,Somewhat Safe,Female,Little,5,[Don't Read] There are no police/they would not come,9,Increase punishment of criminal,Catholic,Somewhat Important,11,Mestizo,0,0
104,Mexico,12,0,Very Unsafe,Male,None,1,More than 3 hours,1,Increase punishment of criminal,None (Believes in a Supreme Entity but does not belong to any religion),Not Very Important,7,Mestizo,0,1
105,Mexico,11,NA,Very Safe,Male,None,3,More than 30 minutes and up to an hour,9,Increase punishment of criminal,"Protestant, Mainline Protestant or Protestant non-Evangelical",Very Important,9,White,0,0
106,Mexico,6,1,Somewhat Unsafe,Male,None,2,[Don't Read] There are no police/they would not come,5,Implement preventative measures,Jehovah's Witness,Very Important,6,Don't Know,1,1
107,Mexico,8,1,Somewhat Safe,Male,None,1,Between 10 and 30 minutes,1,Implement preventative measures,Catholic,Somewhat Important,10,Mestizo,0,0
108,Mexico,9,0,Somewhat Unsafe,Male,Some,2,More than 30 minutes and up to an hour,3,Increase punishment of criminal,None (Believes in a Supreme Entity but does not belong to any religion),Not Very Important,13,Mestizo,0,1
109,Mexico,6,1,Very Safe,Male,None,1,More than 30 minutes and up to an hour,1,Increase punishment of criminal,Catholic,Very Important,8,White,0,0
110,Mexico,17,0,Somewhat Safe,Female,None,4,More than 30 minutes and up to an hour,6,Implement preventative measures,Catholic,Very Important,12,Mestizo,0,0
111,Mexico,16,0,Somewhat Unsafe,Female,None,3,More than 30 minutes and up to an hour,1,Both,Catholic,Somewhat Important,16,White,1,0
112,Mexico,17,0,Very Safe,Male,A lot,6,Between 10 and 30 minutes,5,Both,Catholic,Somewhat Important,16,Mestizo,0,0
113,Mexico,16,0,Very Safe,Male,Little,3,Between 10 and 30 minutes,1,Implement preventative measures,None (Believes in a Supreme Entity but does not belong to any religion),Not Important at All,15,Mestizo,1,NA
114,Mexico,6,1,Somewhat Unsafe,Female,Little,3,Between 10 and 30 minutes,4,Increase punishment of criminal,Catholic,Not Very Important,6,Don't Know,0,0
115,Mexico,12,0,Very Unsafe,Male,None,2,Between 10 and 30 minutes,10,Increase punishment of criminal,Catholic,Somewhat Important,15,Mestizo,1,1
116,Mexico,9,1,Somewhat Safe,Male,None,1,[Don't Read] There are no police/they would not come,1,Increase punishment of criminal,Catholic,Somewhat Important,9,Mestizo,0,1
117,Mexico,12,0,Very Safe,Male,Some,4,Between 10 and 30 minutes,1,Implement preventative measures,Catholic,Somewhat Important,12,Mestizo,0,0
118,Mexico,9,1,Somewhat Safe,Female,Some,4,More than 30 minutes and up to an hour,10,Implement preventative measures,Catholic,Somewhat Important,12,Don't Know,0,0
119,Mexico,16,0,Very Unsafe,Male,Little,1,More than 30 minutes and up to an hour,1,Increase punishment of criminal,None (Believes in a Supreme Entity but does not belong to any religion),Not Important at All,NA,Mestizo,1,1
120,Mexico,1,NA,Very Unsafe,Female,A lot,5,[Don't Read] There are no police/they would not come,1,Both,Catholic,Very Important,2,Mestizo,0,1
121,Mexico,10,1,Somewhat Unsafe,Male,A lot,5,Between 10 and 30 minutes,3,Implement preventative measures,Catholic,Very Important,3,Mestizo,0,0
122,Mexico,0,0,Somewhat Safe,Female,None,1,More than 3 hours,4,Implement preventative measures,Catholic,Very Important,NA,Mestizo,0,0
123,Mexico,16,0,Somewhat Safe,Female,A lot,3,More than 30 minutes and up to an hour,5,Implement preventative measures,Catholic,Very Important,15,Mestizo,1,1
124,Mexico,5,1,Somewhat Unsafe,Male,Little,2,Between 10 and 30 minutes,10,Increase punishment of criminal,None (Believes in a Supreme Entity but does not belong to any religion),Not Important at All,8,Black,0,0
125,Mexico,9,0,Somewhat Unsafe,Female,A lot,1,More than 3 hours,1,Implement preventative measures,Catholic,Very Important,13,Mestizo,0,1
126,Mexico,0,0,Somewhat Unsafe,Male,Little,7,More than 30 minutes and up to an hour,1,Both,Catholic,Somewhat Important,4,Indigenous,0,0
127,Mexico,6,1,Somewhat Safe,Male,Some,1,More than 30 minutes and up to an hour,2,Increase punishment of criminal,Catholic,Somewhat Important,4,Mestizo,0,0
128,Mexico,12,NA,Somewhat Unsafe,Female,Little,3,More than 3 hours,1,Implement preventative measures,None (Believes in a Supreme Entity but does not belong to any religion),Not Important at All,4,Mestizo,0,0
129,Mexico,9,0,Very Safe,Male,None,2,Between 10 and 30 minutes,1,Increase punishment of criminal,Catholic,Somewhat Important,12,Mestizo,0,0
130,Mexico,9,1,Somewhat Unsafe,Female,Little,2,More than 30 minutes and up to an hour,10,Both,"Protestant, Mainline Protestant or Protestant non-Evangelical",Very Important,5,Mestizo,0,0
131,Mexico,6,1,Somewhat Safe,Male,Little,3,More than 30 minutes and up to an hour,2,Increase punishment of criminal,Catholic,Very Important,11,Mestizo,0,0
132,Mexico,12,1,Somewhat Unsafe,Female,Some,3,More than 30 minutes and up to an hour,3,Implement preventative measures,Catholic,Very Important,14,Mestizo,0,0
133,Mexico,6,1,Somewhat Safe,Male,Little,4,More than 30 minutes and up to an hour,4,Implement preventative measures,Catholic,Somewhat Important,4,Mestizo,0,0
134,Mexico,6,0,Somewhat Safe,Male,Little,3,More than 3 hours,6,Increase punishment of criminal,Catholic,Very Important,7,Don't Know,0,0
135,Mexico,9,1,Somewhat Unsafe,Female,Little,3,More than 1 hour and up to 3 hours,6,Implement preventative measures,Catholic,Very Important,11,No Response,1,0
136,Mexico,11,0,Somewhat Unsafe,Female,Some,3,More than 3 hours,10,Increase punishment of criminal,Catholic,Very Important,2,Indigenous,1,1
137,Mexico,12,1,Somewhat Safe,Female,Some,1,More than 1 hour and up to 3 hours,9,Increase punishment of criminal,Catholic,Somewhat Important,9,Mestizo,0,1
138,Mexico,9,0,Very Unsafe,Female,Little,3,Between 10 and 30 minutes,8,Implement preventative measures,Catholic,Very Important,6,White,0,1
139,Mexico,6,1,Somewhat Unsafe,Female,None,1,Between 10 and 30 minutes,1,Increase punishment of criminal,Catholic,Very Important,9,Mestizo,1,0
140,Mexico,12,0,Somewhat Safe,Female,A lot,3,More than 30 minutes and up to an hour,10,Increase punishment of criminal,Catholic,Very Important,7,Mestizo,0,0
141,Mexico,8,1,Somewhat Safe,Male,Some,6,More than 30 minutes and up to an hour,1,Increase punishment of criminal,Catholic,Very Important,NA,White,0,0
142,Mexico,14,0,Somewhat Safe,Male,Some,5,Between 10 and 30 minutes,6,Increase punishment of criminal,Catholic,Very Important,15,Indigenous,0,0
143,Mexico,12,0,Very Safe,Male,Little,4,[Don't Read] There are no police/they would not come,5,Increase punishment of criminal,Catholic,Not Very Important,NA,White,0,0
144,Mexico,4,1,Somewhat Unsafe,Male,Little,4,More than 30 minutes and up to an hour,1,Increase punishment of criminal,Catholic,Not Very Important,7,Mulatto,1,0
145,Mexico,3,NA,Very Safe,Female,None,3,[Don't Read] There are no police/they would not come,8,Increase punishment of criminal,Catholic,Somewhat Important,2,Indigenous,0,0
146,Mexico,6,0,Somewhat Unsafe,Male,None,6,More than 1 hour and up to 3 hours,3,Increase punishment of criminal,Catholic,Somewhat Important,11,Indigenous,0,NA
147,Mexico,17,1,Somewhat Safe,Female,Little,5,Between 10 and 30 minutes,4,Implement preventative measures,Non-Christian Eastern Religion,Very Important,16,Mestizo,0,0
148,Mexico,15,1,Somewhat Safe,Male,None,3,Between 10 and 30 minutes,5,Increase punishment of criminal,Catholic,Not Very Important,14,Mestizo,1,0
149,Mexico,11,0,Somewhat Safe,Female,A lot,7,More than 30 minutes and up to an hour,4,Increase punishment of criminal,Catholic,Somewhat Important,NA,Mestizo,0,0
150,Mexico,9,0,Somewhat Unsafe,Female,Little,4,Between 10 and 30 minutes,10,Increase punishment of criminal,Catholic,Somewhat Important,10,Indigenous,0,0
151,Mexico,9,1,Somewhat Unsafe,Male,Some,1,Between 10 and 30 minutes,5,Increase punishment of criminal,Catholic,Somewhat Important,11,Mestizo,0,NA
152,Mexico,11,1,Somewhat Unsafe,Female,Little,3,[Don't Read] There are no police/they would not come,3,Implement preventative measures,Catholic,Very Important,NA,White,1,NA
153,Mexico,9,0,Somewhat Safe,Female,None,5,More than 30 minutes and up to an hour,1,Increase punishment of criminal,Catholic,Very Important,10,Mestizo,0,0
154,Mexico,12,NA,Somewhat Safe,Male,Some,4,Between 10 and 30 minutes,4,Implement preventative measures,None (Believes in a Supreme Entity but does not belong to any religion),Not Important at All,16,Mestizo,0,0
155,Mexico,9,0,Somewhat Safe,Female,Little,4,Less than 10 minutes,8,Implement preventative measures,Catholic,Very Important,NA,Mestizo,1,0
156,Mexico,12,1,Very Unsafe,Female,None,1,More than 3 hours,5,Increase punishment of criminal,Catholic,Somewhat Important,8,White,1,0
157,Mexico,6,0,Somewhat Safe,Male,None,3,More than 3 hours,8,Don't Know,Catholic,Somewhat Important,4,Indigenous,0,1
158,Mexico,11,1,Somewhat Safe,Male,Some,1,More than 30 minutes and up to an hour,7,Increase punishment of criminal,Traditional or Native Religion,Very Important,9,No Response,0,0
159,Mexico,6,0,Somewhat Unsafe,Male,Some,3,Don't Know,NA,Increase punishment of criminal,None (Believes in a Supreme Entity but does not belong to any religion),Not Very Important,NA,White,0,0
160,Mexico,16,0,Very Unsafe,Female,Some,3,More than 30 minutes and up to an hour,6,Both,Catholic,Somewhat Important,14,Mestizo,0,0
161,Mexico,9,0,Somewhat Safe,Female,Little,7,More than 1 hour and up to 3 hours,1,Increase punishment of criminal,Catholic,Very Important,7,Mestizo,1,NA
162,Mexico,9,1,Very Unsafe,Female,Little,2,More than 30 minutes and up to an hour,10,Increase punishment of criminal,Catholic,Not Very Important,10,Mestizo,0,0
163,Mexico,10,0,Somewhat Safe,Male,Little,4,Between 10 and 30 minutes,3,Both,Evangelical and Protestant,Very Important,10,Mestizo,0,0
164,Mexico,6,0,Very Unsafe,Female,None,1,More than 30 minutes and up to an hour,1,Increase punishment of criminal,Catholic,Somewhat Important,4,Mestizo,1,1
165,Mexico,9,1,Somewhat Safe,Male,Some,4,Between 10 and 30 minutes,6,Implement preventative measures,Catholic,Somewhat Important,6,Mestizo,0,0
166,Mexico,8,NA,Somewhat Safe,Female,None,1,[Don't Read] There are no police/they would not come,4,Increase punishment of criminal,None (Believes in a Supreme Entity but does not belong to any religion),Not Very Important,12,White,0,1
167,Mexico,6,0,Somewhat Unsafe,Male,None,4,Between 10 and 30 minutes,5,Increase punishment of criminal,Catholic,Not Very Important,NA,Mestizo,0,1
168,Mexico,12,0,Very Safe,Male,Some,4,More than 30 minutes and up to an hour,1,Increase punishment of criminal,Catholic,Somewhat Important,11,Don't Know,0,0
169,Mexico,9,0,Very Safe,Male,None,1,More than 1 hour and up to 3 hours,5,Increase punishment of criminal,None (Believes in a Supreme Entity but does not belong to any religion),Not Important at All,NA,White,0,0
170,Mexico,12,1,Somewhat Unsafe,Male,Little,2,More than 1 hour and up to 3 hours,5,Increase punishment of criminal,Catholic,Not Very Important,11,Mestizo,0,0
171,Mexico,15,1,Somewhat Safe,Male,Some,3,Less than 10 minutes,10,Implement preventative measures,Catholic,Somewhat Important,NA,White,1,NA
172,Mexico,9,1,Very Unsafe,Female,None,4,More than 1 hour and up to 3 hours,6,Implement preventative measures,Evangelical and Protestant,Very Important,NA,Indigenous,0,1
173,Mexico,6,1,Very Unsafe,Male,A lot,3,[Don't Read] There are no police/they would not come,1,Increase punishment of criminal,Jehovah's Witness,Somewhat Important,14,Mestizo,1,0
174,Mexico,6,0,Somewhat Unsafe,Male,Little,3,More than 30 minutes and up to an hour,4,Both,Catholic,Very Important,5,Indigenous,0,0
