r_id,pais,ur,q2,q1,clien1,ed,tamano,cp5,cp8,cp9,cp13,q10
41,Mexico,Urban,32,Female,Rara vez,9,Large City,4,4,4,4,0
42,Mexico,Rural,75,Male,Nunca,0,Rural Area,4,4,4,4,NA
43,Mexico,Urban,52,Female,Rara vez,9,National Capital (Metropolitan area),3,4,4,4,NA
44,Mexico,Urban,52,Female,Nunca,6,Large City,4,4,4,4,3
45,Mexico,Urban,42,Female,Nunca,8,National Capital (Metropolitan area),1,3,4,3,3
46,Mexico,Rural,18,Male,Nunca,11,Rural Area,4,4,3,4,2
47,Mexico,Urban,22,Female,Nunca,11,Medium City,3,4,4,3,8
48,Mexico,Urban,59,Male,Nunca,4,Medium City,4,4,4,4,5
49,Mexico,Urban,30,Female,Nunca,17,Large City,4,4,4,4,2
50,Mexico,Urban,23,Female,Nunca,11,Medium City,4,4,4,4,3
51,Mexico,Urban,30,Female,Nunca,9,National Capital (Metropolitan area),4,4,4,4,1
52,Mexico,Urban,22,Male,Nunca,8,Medium City,4,4,4,4,5
53,Mexico,Rural,24,Male,Nunca,9,Rural Area,3,3,2,3,1
54,Mexico,Urban,61,Female,Nunca,6,National Capital (Metropolitan area),1,4,4,4,2
55,Mexico,Urban,86,Female,Nunca,6,National Capital (Metropolitan area),4,4,4,4,NA
56,Mexico,Urban,24,Female,Nunca,9,Small City,4,3,4,4,3
57,Mexico,Urban,59,Male,Rara vez,6,National Capital (Metropolitan area),4,4,4,4,2
58,Mexico,Rural,24,Male,Rara vez,17,Rural Area,4,4,2,4,6
59,Mexico,Urban,28,Female,Nunca,9,Large City,4,4,4,4,2
60,Mexico,Urban,25,Male,Nunca,17,National Capital (Metropolitan area),3,4,1,2,2
61,Mexico,Urban,58,Female,Nunca,9,Large City,3,4,4,4,6
62,Mexico,Urban,35,Male,Nunca,11,National Capital (Metropolitan area),4,4,4,4,7
63,Mexico,Rural,49,Male,Rara vez,17,Rural Area,4,4,3,4,3
64,Mexico,Urban,65,Female,Nunca,0,Small City,4,4,4,3,NA
65,Mexico,Urban,25,Male,Nunca,17,Large City,4,4,4,4,NA
66,Mexico,Urban,22,Female,Nunca,15,National Capital (Metropolitan area),4,4,4,4,6
67,Mexico,Urban,76,Male,Not Applicable,9,Small City,3,3,4,4,9
68,Mexico,Urban,65,Male,Nunca,9,Large City,2,2,2,4,2
69,Mexico,Rural,34,Female,Nunca,9,Rural Area,4,3,4,4,3
70,Mexico,Urban,30,Female,Nunca,9,Large City,4,4,4,4,3
71,Mexico,Rural,24,Female,Nunca,9,Medium City,3,4,4,4,3
72,Mexico,Urban,28,Male,Rara vez,11,Medium City,1,4,4,4,7
73,Mexico,Urban,44,Male,Nunca,9,Small City,4,4,4,4,4
74,Mexico,Urban,24,Male,Nunca,17,National Capital (Metropolitan area),4,4,1,4,10
75,Mexico,Urban,21,Male,Nunca,14,Small City,4,4,4,4,4
76,Mexico,Rural,41,Female,Nunca,12,Large City,4,4,4,4,NA
77,Mexico,Urban,23,Male,Frecuentemente,9,National Capital (Metropolitan area),2,4,4,4,3
78,Mexico,Urban,28,Female,Nunca,10,National Capital (Metropolitan area),4,4,3,4,7
79,Mexico,Rural,43,Male,Nunca,9,Rural Area,4,4,3,4,2
80,Mexico,Urban,NA,Female,Rara vez,9,Large City,4,4,2,4,0
81,Mexico,Urban,82,Male,Nunca,3,Large City,4,3,4,4,3
82,Mexico,Urban,33,Female,Nunca,12,Medium City,3,3,4,3,2
83,Mexico,Urban,60,Female,Nunca,6,Small City,3,3,3,3,2
84,Mexico,Urban,75,Female,Nunca,6,Small City,4,4,4,4,4
85,Mexico,Urban,28,Male,Nunca,18,National Capital (Metropolitan area),4,4,1,4,10
86,Mexico,Urban,18,Female,Nunca,9,Medium City,4,2,4,3,4
87,Mexico,Rural,57,Female,Nunca,2,Rural Area,4,4,4,4,NA
88,Mexico,Urban,44,Female,Nunca,9,Large City,3,3,4,4,8
89,Mexico,Urban,30,Female,Nunca,6,Large City,4,4,4,4,0
90,Mexico,Rural,32,Female,Nunca,6,Large City,4,4,4,4,1
91,Mexico,Urban,29,Female,Nunca,9,Large City,4,4,4,4,3
92,Mexico,Rural,20,Male,Nunca,9,Rural Area,4,2,4,4,1
93,Mexico,Urban,62,Female,Frecuentemente,4,Large City,3,3,4,4,4
94,Mexico,Urban,28,Female,Nunca,9,Medium City,4,4,4,4,2
95,Mexico,Rural,35,Female,Nunca,3,Rural Area,3,4,4,4,NA
96,Mexico,Urban,23,Male,Nunca,18,Large City,4,4,4,4,4
97,Mexico,Rural,27,Female,Nunca,9,Large City,3,4,3,4,2
98,Mexico,Urban,44,Female,Nunca,6,National Capital (Metropolitan area),4,4,4,4,4
99,Mexico,Urban,22,Female,Nunca,15,Large City,4,4,4,4,9
100,Mexico,Urban,26,Female,Nunca,9,Small City,4,4,4,3,6
101,Mexico,Rural,28,Female,Frecuentemente,12,Rural Area,2,2,4,2,2
102,Mexico,Urban,37,Male,Nunca,8,Large City,4,4,4,4,3
103,Mexico,Urban,36,Male,Nunca,9,Small City,4,4,4,4,4
104,Mexico,Urban,34,Female,Rara vez,9,Small City,1,4,4,4,4
105,Mexico,Urban,18,Male,Rara vez,9,Small City,4,2,3,1,5
106,Mexico,Urban,20,Female,Rara vez,12,National Capital (Metropolitan area),3,4,4,4,3
107,Mexico,Urban,27,Female,Nunca,11,National Capital (Metropolitan area),4,4,4,4,3
108,Mexico,Urban,40,Male,Nunca,12,Small City,4,4,3,4,NA
109,Mexico,Urban,53,Male,Frecuentemente,1,Small City,4,4,4,4,2
110,Mexico,Urban,25,Female,Nunca,2,Small City,4,4,4,4,2
111,Mexico,Urban,18,Female,Nunca,9,Small City,4,2,4,3,2
112,Mexico,Urban,32,Female,Nunca,9,Small City,3,3,4,4,NA
113,Mexico,Urban,47,Female,Frecuentemente,17,Large City,2,4,4,4,3
114,Mexico,Urban,64,Male,Nunca,6,National Capital (Metropolitan area),4,4,4,3,NA
115,Mexico,Rural,36,Female,Nunca,9,Large City,4,3,4,4,NA
116,Mexico,Urban,47,Female,Nunca,16,Medium City,4,4,2,4,5
117,Mexico,Rural,52,Male,Nunca,9,Rural Area,4,4,4,4,0
118,Mexico,Urban,21,Male,Nunca,16,Large City,3,4,4,4,6
119,Mexico,Urban,29,Male,Nunca,9,Large City,4,4,4,4,4
120,Mexico,Urban,26,Female,Rara vez,6,Large City,4,4,4,4,1
121,Mexico,Urban,63,Female,Nunca,8,Small City,2,4,4,4,3
122,Mexico,Urban,42,Female,Nunca,6,Medium City,4,4,4,4,3
123,Mexico,Urban,23,Male,Nunca,5,National Capital (Metropolitan area),1,4,4,4,1
124,Mexico,Rural,47,Female,Nunca,15,Rural Area,1,1,2,4,6
125,Mexico,Urban,21,Male,Nunca,18,Small City,4,4,4,4,4
126,Mexico,Rural,31,Male,Frecuentemente,9,Rural Area,4,4,3,4,7
127,Mexico,Rural,41,Male,Nunca,9,Rural Area,3,2,4,4,3
128,Mexico,Rural,30,Female,Nunca,6,Medium City,4,4,4,4,1
129,Mexico,Rural,71,Female,Nunca,2,Rural Area,4,2,4,4,2
130,Mexico,Urban,59,Female,Nunca,6,Small City,3,4,4,4,4
131,Mexico,Urban,19,Male,Nunca,9,National Capital (Metropolitan area),4,4,4,4,5
132,Mexico,Urban,54,Male,Nunca,12,Large City,4,2,4,4,6
133,Mexico,Rural,18,Male,Nunca,9,Rural Area,4,4,4,4,5
134,Mexico,Rural,29,Male,Nunca,6,Rural Area,4,3,4,4,1
135,Mexico,Urban,58,Male,Nunca,10,National Capital (Metropolitan area),4,4,4,4,7
136,Mexico,Urban,18,Female,Nunca,13,Large City,4,4,4,4,NA
137,Mexico,Urban,62,Male,Nunca,6,National Capital (Metropolitan area),3,4,4,4,3
138,Mexico,Urban,61,Female,Nunca,9,National Capital (Metropolitan area),3,3,3,4,4
139,Mexico,Urban,41,Female,Frecuentemente,12,National Capital (Metropolitan area),3,3,4,4,10
140,Mexico,Rural,37,Male,Nunca,9,Medium City,4,4,4,4,4
141,Mexico,Rural,24,Female,Frecuentemente,3,Rural Area,4,3,3,3,8
142,Mexico,Urban,40,Male,Nunca,9,Small City,3,3,4,4,8
143,Mexico,Rural,36,Female,Nunca,9,Rural Area,4,4,4,3,4
144,Mexico,Urban,30,Male,Nunca,16,Large City,4,4,4,4,NA
145,Mexico,Urban,37,Female,Nunca,12,Large City,4,3,4,4,NA
146,Mexico,Urban,38,Male,Frecuentemente,8,Small City,3,1,4,3,1
147,Mexico,Urban,48,Female,Nunca,3,Small City,4,4,4,4,1
148,Mexico,Rural,20,Male,Nunca,7,Rural Area,4,4,4,4,6
149,Mexico,Urban,27,Male,Nunca,6,Small City,4,4,4,4,3
150,Mexico,Urban,20,Male,Nunca,11,Small City,3,4,4,4,NA
151,Mexico,Urban,47,Male,Frecuentemente,10,Medium City,3,2,4,2,3
152,Mexico,Rural,25,Female,Nunca,14,Rural Area,4,4,4,4,2
153,Mexico,Urban,46,Male,Rara vez,6,Small City,3,4,4,4,5
154,Mexico,Rural,23,Male,Nunca,14,Rural Area,3,3,3,2,2
155,Mexico,Urban,21,Female,Nunca,16,Large City,4,3,4,4,5
156,Mexico,Rural,64,Male,Nunca,1,Rural Area,3,3,3,3,2
157,Mexico,Urban,77,Female,Nunca,1,National Capital (Metropolitan area),4,4,4,4,3
158,Mexico,Urban,38,Male,Nunca,9,Small City,4,3,4,3,3
159,Mexico,Urban,42,Female,Nunca,9,Small City,4,4,4,4,NA
160,Mexico,Urban,38,Female,Nunca,9,Small City,4,4,4,4,4
161,Mexico,Rural,49,Male,Not Applicable,12,Rural Area,4,3,2,4,NA
162,Mexico,Urban,49,Male,Nunca,12,Small City,3,4,4,4,5
163,Mexico,Urban,18,Male,Nunca,9,National Capital (Metropolitan area),4,4,4,4,3
164,Mexico,Urban,33,Female,Nunca,10,National Capital (Metropolitan area),3,4,4,4,2
165,Mexico,Rural,26,Female,Nunca,5,Rural Area,4,4,4,4,1
166,Mexico,Urban,20,Female,Frecuentemente,12,National Capital (Metropolitan area),4,4,4,4,4
167,Mexico,Urban,32,Male,Nunca,9,Small City,4,4,4,4,7
168,Mexico,Urban,19,Male,Not Applicable,9,Medium City,4,4,4,4,2
169,Mexico,Urban,50,Male,Nunca,6,Large City,4,4,4,4,NA
170,Mexico,Urban,36,Male,Nunca,18,Large City,4,3,3,4,8
171,Mexico,Urban,45,Male,Nunca,7,Small City,4,4,4,4,3
172,Mexico,Rural,19,Female,Nunca,9,Rural Area,4,4,4,4,2
173,Mexico,Urban,59,Male,Not Applicable,6,Small City,3,4,3,4,6
174,Mexico,Urban,67,Male,Nunca,0,Small City,3,4,4,4,6
175,Mexico,Urban,36,Female,Nunca,10,Medium City,4,3,4,4,6
176,Mexico,Urban,40,Female,Nunca,0,National Capital (Metropolitan area),4,4,4,4,2
177,Mexico,Urban,26,Female,Nunca,12,Small City,4,4,4,4,2
178,Mexico,Urban,18,Male,Frecuentemente,12,Large City,1,4,4,4,3
179,Mexico,Urban,44,Male,Nunca,9,National Capital (Metropolitan area),2,4,1,2,2
180,Mexico,Rural,42,Male,Rara vez,6,Rural Area,3,3,4,4,0
181,Mexico,Urban,73,Male,Nunca,0,Large City,NA,4,4,4,2
182,Mexico,Urban,59,Male,Nunca,0,Large City,2,4,4,4,2
183,Mexico,Urban,40,Male,Rara vez,9,Small City,4,4,4,3,7
184,Mexico,Urban,64,Female,Nunca,6,Large City,2,2,4,3,3
185,Mexico,Rural,53,Female,Frecuentemente,4,Rural Area,2,2,4,4,3
186,Mexico,Urban,29,Male,Nunca,14,Large City,4,4,3,2,8
187,Mexico,Urban,29,Male,Nunca,12,Large City,4,4,4,2,7
188,Mexico,Urban,50,Female,Nunca,9,Large City,4,4,4,4,4
189,Mexico,Urban,31,Female,Nunca,9,Medium City,4,2,4,4,2
190,Mexico,Urban,53,Male,Nunca,18,Small City,4,4,4,4,9
191,Mexico,Urban,40,Female,Frecuentemente,13,Medium City,4,4,4,4,5
192,Mexico,Urban,56,Male,Frecuentemente,9,Medium City,4,4,4,4,6
193,Mexico,Urban,73,Female,Nunca,6,Large City,4,4,4,4,NA
194,Mexico,Urban,48,Male,Rara vez,3,Small City,3,4,2,4,1
195,Mexico,Urban,49,Female,Rara vez,17,Large City,4,4,3,4,NA
196,Mexico,Urban,32,Female,Nunca,9,Large City,4,4,4,4,4
197,Mexico,Rural,26,Female,Nunca,17,Rural Area,4,4,4,4,7
198,Mexico,Urban,31,Male,Nunca,12,National Capital (Metropolitan area),4,4,4,4,3
199,Mexico,Urban,63,Male,Nunca,0,Small City,4,4,4,4,1
200,Mexico,Urban,69,Male,Nunca,3,Large City,4,4,4,4,4
201,Mexico,Rural,39,Male,Nunca,11,Rural Area,1,4,4,4,6
202,Mexico,Urban,18,Female,Nunca,11,Small City,2,2,4,4,8
203,Mexico,Urban,51,Female,Nunca,6,Medium City,4,4,4,4,2
204,Mexico,Urban,22,Female,Nunca,12,National Capital (Metropolitan area),4,4,4,4,1
205,Mexico,Rural,37,Female,Rara vez,9,Rural Area,3,3,4,4,3
206,Mexico,Urban,32,Male,Nunca,2,Small City,4,4,4,2,3
207,Mexico,Urban,53,Male,Frecuentemente,12,Large City,3,4,NA,4,7
208,Mexico,Rural,39,Female,Nunca,6,Rural Area,4,4,4,4,2
209,Mexico,Urban,44,Female,Rara vez,7,National Capital (Metropolitan area),3,2,4,4,4
210,Mexico,Urban,35,Female,Nunca,9,Medium City,3,4,4,3,NA
211,Mexico,Urban,28,Female,Nunca,6,National Capital (Metropolitan area),3,4,4,4,7
212,Mexico,Urban,34,Male,Nunca,12,National Capital (Metropolitan area),4,4,4,4,8
213,Mexico,Urban,40,Male,Nunca,9,Large City,1,4,4,4,5
214,Mexico,Urban,45,Male,Rara vez,12,Large City,3,4,4,4,NA
215,Mexico,Rural,36,Male,Rara vez,7,Rural Area,4,4,4,4,4
216,Mexico,Urban,29,Male,Nunca,0,Medium City,4,3,4,4,7
217,Mexico,Urban,66,Male,Nunca,2,Large City,4,4,4,4,0
218,Mexico,Urban,24,Female,Nunca,12,Small City,4,4,4,4,NA
219,Mexico,Urban,27,Male,Nunca,14,National Capital (Metropolitan area),2,2,2,3,6
220,Mexico,Urban,35,Female,Rara vez,9,National Capital (Metropolitan area),3,3,4,3,3
221,Mexico,Rural,30,Male,Nunca,15,Rural Area,3,3,4,4,7
222,Mexico,Urban,62,Male,Nunca,16,Large City,3,3,2,2,NA
223,Mexico,Urban,50,Female,Nunca,12,Large City,4,4,4,4,4
224,Mexico,Urban,58,Male,Nunca,0,Medium City,4,4,4,4,1
225,Mexico,Rural,21,Female,Nunca,12,Rural Area,4,4,4,4,2
226,Mexico,Urban,33,Male,Rara vez,4,Small City,4,4,4,4,2
227,Mexico,Urban,72,Female,Nunca,6,Large City,4,4,4,4,4
228,Mexico,Urban,36,Female,Nunca,12,National Capital (Metropolitan area),4,4,4,4,9
229,Mexico,Rural,29,Male,Nunca,9,Medium City,4,2,4,4,5
230,Mexico,Urban,52,Female,Nunca,16,Large City,4,4,4,4,5
231,Mexico,Urban,18,Male,Nunca,11,Large City,3,3,4,4,4
232,Mexico,Rural,20,Male,Nunca,10,Large City,4,4,4,4,4
233,Mexico,Urban,22,Male,Nunca,14,Small City,4,4,4,4,4
234,Mexico,Urban,40,Female,Nunca,9,National Capital (Metropolitan area),3,4,4,4,NA
235,Mexico,Urban,42,Male,Nunca,9,National Capital (Metropolitan area),4,3,4,4,5
236,Mexico,Urban,21,Male,Rara vez,12,Small City,4,4,4,3,5
237,Mexico,Rural,43,Male,Nunca,12,Rural Area,4,3,2,4,8
238,Mexico,Urban,19,Female,Nunca,10,National Capital (Metropolitan area),4,4,1,4,8
239,Mexico,Urban,40,Female,Rara vez,6,National Capital (Metropolitan area),4,4,4,4,4
240,Mexico,Urban,48,Female,Nunca,9,National Capital (Metropolitan area),3,3,3,4,3
241,Mexico,Urban,33,Male,Rara vez,16,Small City,4,4,4,4,7
242,Mexico,Rural,37,Female,Nunca,9,Large City,4,4,4,4,5
243,Mexico,Urban,31,Male,Nunca,12,National Capital (Metropolitan area),4,4,4,4,2
244,Mexico,Urban,76,Male,Nunca,0,Small City,4,2,4,4,3
245,Mexico,Urban,24,Male,Frecuentemente,9,Small City,4,4,4,4,5
246,Mexico,Urban,60,Female,Nunca,6,Small City,NA,4,4,4,3
247,Mexico,Urban,50,Female,Nunca,9,Large City,3,3,4,3,9
248,Mexico,Rural,19,Female,Nunca,9,Rural Area,4,4,4,4,2
249,Mexico,Rural,28,Male,Nunca,9,Rural Area,4,4,4,4,NA
250,Mexico,Rural,49,Female,Nunca,0,Rural Area,4,4,4,4,3
251,Mexico,Urban,21,Male,Nunca,11,National Capital (Metropolitan area),1,1,4,4,8
252,Mexico,Urban,18,Male,Nunca,6,Medium City,4,4,4,4,4
253,Mexico,Rural,28,Female,Frecuentemente,6,Rural Area,4,4,4,4,6
254,Mexico,Urban,63,Female,Nunca,6,Large City,2,4,4,4,8
255,Mexico,Urban,35,Female,Nunca,6,Large City,4,4,4,4,5
256,Mexico,Urban,56,Female,Nunca,0,Large City,3,3,4,4,2
257,Mexico,Urban,19,Male,Nunca,9,Medium City,4,4,4,4,6
258,Mexico,Rural,55,Male,Nunca,12,Large City,4,4,4,4,5
259,Mexico,Urban,23,Male,Nunca,12,National Capital (Metropolitan area),4,4,4,4,4
260,Mexico,Urban,63,Male,Nunca,8,National Capital (Metropolitan area),2,2,4,4,4
261,Mexico,Urban,56,Male,Nunca,9,National Capital (Metropolitan area),3,3,4,4,NA
262,Mexico,Urban,39,Male,Nunca,11,Large City,3,4,3,4,8
263,Mexico,Rural,66,Female,Nunca,3,Rural Area,4,2,4,2,NA
264,Mexico,Urban,39,Female,Rara vez,9,Large City,4,4,4,4,8
265,Mexico,Urban,64,Male,Nunca,2,Small City,NA,4,4,4,2
266,Mexico,Rural,30,Female,Nunca,12,Rural Area,4,2,4,4,4
267,Mexico,Rural,29,Female,Nunca,9,Rural Area,2,2,4,4,4
268,Mexico,Urban,24,Female,Nunca,9,Small City,3,4,4,4,NA
269,Mexico,Urban,31,Male,Nunca,9,Large City,4,4,4,4,0
270,Mexico,Urban,35,Female,Frecuentemente,9,Large City,4,3,4,NA,3
271,Mexico,Urban,66,Male,Nunca,5,National Capital (Metropolitan area),2,3,4,4,4
272,Mexico,Urban,47,Female,Nunca,15,Large City,2,2,4,4,1
273,Mexico,Urban,64,Female,Nunca,1,Small City,3,3,3,3,3
274,Mexico,Urban,39,Male,Nunca,9,National Capital (Metropolitan area),4,3,4,4,4
275,Mexico,Rural,66,Male,Nunca,2,Rural Area,2,2,4,4,2
276,Mexico,Urban,43,Male,Nunca,12,National Capital (Metropolitan area),4,4,4,4,9
277,Mexico,Urban,38,Male,Nunca,17,Small City,4,4,4,2,10
278,Mexico,Urban,48,Male,Nunca,6,Large City,4,4,4,3,2
279,Mexico,Rural,31,Male,Rara vez,9,Rural Area,3,4,3,4,3
280,Mexico,Urban,48,Female,Nunca,7,Large City,3,3,4,4,3
281,Mexico,Urban,28,Female,Nunca,12,Medium City,2,2,4,2,3
282,Mexico,Urban,48,Female,Nunca,4,Medium City,4,4,4,4,4
283,Mexico,Urban,44,Female,Rara vez,0,Small City,3,3,4,3,3
284,Mexico,Urban,68,Female,Frecuentemente,6,Large City,3,4,4,4,2
285,Mexico,Urban,23,Female,Nunca,12,Large City,4,4,4,4,3
286,Mexico,Urban,28,Male,Nunca,16,Small City,3,4,4,4,7
287,Mexico,Urban,25,Female,Nunca,12,Large City,4,4,4,4,2
288,Mexico,Urban,64,Male,Nunca,3,Small City,4,4,4,4,NA
289,Mexico,Urban,22,Female,Nunca,9,Large City,4,4,4,4,2
290,Mexico,Rural,32,Female,Nunca,9,Rural Area,3,4,4,4,1
291,Mexico,Urban,30,Male,Rara vez,12,Small City,4,4,4,4,10
292,Mexico,Rural,56,Male,Nunca,7,Large City,4,4,4,4,6
293,Mexico,Urban,23,Female,Nunca,8,Large City,4,4,4,4,3
294,Mexico,Urban,24,Male,Nunca,9,National Capital (Metropolitan area),4,4,4,4,1
295,Mexico,Urban,18,Male,Rara vez,12,National Capital (Metropolitan area),3,2,3,3,2
296,Mexico,Urban,50,Female,Nunca,6,Small City,4,4,4,4,1
297,Mexico,Rural,39,Female,Rara vez,5,Rural Area,4,4,4,4,2
298,Mexico,Urban,55,Female,Nunca,17,Large City,2,2,4,4,NA
299,Mexico,Urban,37,Male,Nunca,9,Large City,4,3,4,3,5
300,Mexico,Urban,35,Male,Rara vez,12,Medium City,3,4,4,4,6
301,Mexico,Rural,35,Male,Frecuentemente,13,Rural Area,3,3,4,3,5
302,Mexico,Urban,49,Female,Nunca,6,Medium City,4,4,4,3,2
303,Mexico,Rural,35,Female,Nunca,16,Rural Area,4,4,4,4,4
304,Mexico,Urban,38,Male,Nunca,9,Large City,4,3,4,4,3
305,Mexico,Rural,46,Female,Nunca,9,Large City,4,4,4,4,6
306,Mexico,Urban,20,Female,Nunca,9,Medium City,3,4,4,4,4
307,Mexico,Urban,27,Female,Nunca,12,National Capital (Metropolitan area),4,4,4,4,4
308,Mexico,Urban,52,Female,Rara vez,4,Small City,3,4,2,4,1
309,Mexico,Urban,19,Male,Nunca,9,Medium City,4,4,4,4,4
310,Mexico,Urban,43,Female,Nunca,17,Large City,3,4,4,4,7
311,Mexico,Urban,24,Male,Nunca,12,Small City,2,1,2,1,8
312,Mexico,Urban,32,Male,Nunca,9,Medium City,3,4,4,4,7
313,Mexico,Urban,30,Male,Nunca,18,National Capital (Metropolitan area),4,3,4,4,7
314,Mexico,Urban,25,Male,Frecuentemente,10,National Capital (Metropolitan area),4,2,4,4,7
315,Mexico,Urban,27,Male,Nunca,11,Large City,4,4,4,3,2
316,Mexico,Urban,53,Female,Nunca,16,National Capital (Metropolitan area),4,4,4,4,2
317,Mexico,Urban,40,Female,Nunca,1,Small City,4,4,1,4,1
318,Mexico,Urban,28,Male,Nunca,12,Small City,2,NA,4,4,4
319,Mexico,Urban,29,Female,Nunca,10,National Capital (Metropolitan area),3,3,4,4,2
320,Mexico,Urban,45,Female,Nunca,9,Small City,3,4,4,4,2
321,Mexico,Rural,29,Male,Nunca,6,Rural Area,4,3,2,4,3
322,Mexico,Urban,21,Female,Nunca,12,Medium City,4,4,4,4,2
323,Mexico,Urban,18,Female,Nunca,11,Large City,4,4,4,4,9
324,Mexico,Urban,48,Female,Nunca,0,Medium City,4,4,4,3,8
325,Mexico,Urban,18,Female,Nunca,11,Medium City,4,4,4,4,3
326,Mexico,Urban,36,Male,Nunca,10,National Capital (Metropolitan area),4,4,4,4,3
327,Mexico,Urban,21,Male,Nunca,13,Small City,4,4,4,4,NA
328,Mexico,Urban,30,Female,Rara vez,6,National Capital (Metropolitan area),4,4,4,4,4
329,Mexico,Urban,28,Female,Frecuentemente,9,Large City,4,4,4,4,4
330,Mexico,Urban,60,Female,Nunca,6,National Capital (Metropolitan area),4,4,4,4,3
331,Mexico,Urban,39,Female,Nunca,12,National Capital (Metropolitan area),4,4,4,4,4
332,Mexico,Urban,18,Male,Nunca,12,Large City,3,3,3,3,9
333,Mexico,Urban,19,Male,Rara vez,9,Large City,4,4,4,4,3
334,Mexico,Urban,19,Female,Nunca,11,Large City,2,4,4,4,2
335,Mexico,Urban,26,Female,Nunca,17,Medium City,4,4,4,2,2
336,Mexico,Rural,57,Female,Nunca,3,Rural Area,4,4,3,4,2
337,Mexico,Urban,37,Female,Nunca,3,Medium City,2,4,4,4,4
338,Mexico,Urban,43,Female,Nunca,11,Large City,4,4,4,4,3
339,Mexico,Urban,21,Male,Nunca,6,Large City,4,4,4,4,2
340,Mexico,Urban,53,Female,Nunca,6,Large City,4,4,4,4,NA
341,Mexico,Urban,48,Female,Nunca,12,Medium City,3,2,4,3,7
342,Mexico,Urban,36,Female,Nunca,9,Small City,4,3,4,4,4
343,Mexico,Urban,44,Male,Nunca,12,Large City,3,4,4,4,6
344,Mexico,Rural,37,Male,Rara vez,12,Rural Area,3,4,4,3,4
345,Mexico,Urban,55,Male,Nunca,11,Large City,4,4,4,4,7
346,Mexico,Urban,31,Male,Nunca,12,Medium City,3,3,3,4,2
347,Mexico,Urban,19,Female,Nunca,13,National Capital (Metropolitan area),2,3,4,4,3
348,Mexico,Urban,39,Male,Nunca,8,Large City,4,4,4,4,5
349,Mexico,Rural,65,Male,Nunca,6,Rural Area,4,4,4,4,1
350,Mexico,Urban,62,Male,Rara vez,2,Small City,3,3,3,4,8
