ur,q2,q1,b12,b21,ing4,vb3n,braantip1,ed,q3cn,q10new,gi0n,d6,capital1,municipio,problem_corruption,problem_unemployment,problem_crime
Rural,44,Mujer,6,3,6,Jair Bolsonaro (PSL),1,11,Católico,11,Diariamente,1,No responde,SANTANA DO ARAGUAIA,no,no,no
Urbano,16,Mujer,7,1,6,No Aplica,1,8,Evangélica y Pentecostal,4,Diariamente,1,En contra,MANAUS,no,no,no
Urbano,67,Mujer,2,3,5,Fernando Haddad (PT),4,1,Católico,NA,Diariamente,1,En contra,RIO BRANCO,no,no,no
Rural,83,Hombre,7,7,1,No Aplica,10,0,Católico,5,Diariamente,10,En contra,CODAJÁS,no,yes,no
Urbano,42,Mujer,6,1,6,Jair Bolsonaro (PSL),7,11,"Protestante, Protestante Tradicional o Protestante no Evangélico",4,Diariamente,6,En contra,SANTARÉM,yes,no,no
Urbano,37,Hombre,7,3,NA,Jair Bolsonaro (PSL),7,4,Católico,1,Algunas veces a la semana,9,A Favor,BELÉM,no,yes,no
Urbano,39,Hombre,7,3,4,No Aplica,10,9,Católico,8,Diariamente,10,A Favor,MARABÁ,no,yes,no
Rural,29,Hombre,7,4,4,Fernando Haddad (PT),3,6,Ninguna (Cree en un Ser Superior pero no pertenece a ninguna religión),4,Diariamente,4,En contra,CAMETÁ,no,no,no
Rural,33,Mujer,7,2,5,Fernando Haddad (PT),6,8,Evangélica y Pentecostal,2,Algunas veces a la semana,1,En contra,CODAJÁS,no,no,no
Urbano,19,Hombre,6,2,2,Jair Bolsonaro (PSL),1,9,Ninguna (Cree en un Ser Superior pero no pertenece a ninguna religión),2,Diariamente,3,A Favor,BOA VISTA,no,no,no
Urbano,33,Hombre,5,1,7,Jair Bolsonaro (PSL),1,13,"Protestante, Protestante Tradicional o Protestante no Evangélico",10,Diariamente,5,A Favor,MANAUS,yes,no,no
Urbano,32,Hombre,6,1,7,Marina Silva (REDE),1,11,Evangélica y Pentecostal,5,Diariamente,5,En contra,PORTO VELHO,no,no,no
Urbano,22,Mujer,7,5,6,Jair Bolsonaro (PSL),1,6,Evangélica y Pentecostal,0,Algunas veces a la semana,1,En contra,BOA VISTA,yes,no,no
Urbano,59,Hombre,3,1,6,Jair Bolsonaro (PSL),1,3,Evangélica y Pentecostal,13,Algunas veces a la semana,1,A Favor,BURITIS,yes,no,no
Rural,40,Mujer,4,1,6,Fernando Haddad (PT),8,17,Católico,15,Algunas veces a la semana,1,A Favor,MANAQUIRI,no,no,no
Urbano,33,Mujer,6,1,2,No Aplica,10,6,Evangélica y Pentecostal,1,Diariamente,1,A Favor,BELÉM,no,yes,no
Urbano,20,Hombre,6,4,6,Jair Bolsonaro (PSL),2,11,"Protestante, Protestante Tradicional o Protestante no Evangélico",16,Diariamente,10,En contra,MARABÁ,no,no,no
Urbano,24,Mujer,6,2,5,Fernando Haddad (PT),10,5,"Protestante, Protestante Tradicional o Protestante no Evangélico",3,Diariamente,7,A Favor,MACAPÁ,no,no,no
Urbano,29,Mujer,4,1,6,Jair Bolsonaro (PSL),4,17,Católico,9,Diariamente,10,A Favor,MARABÁ,no,no,no
Urbano,48,Mujer,7,3,5,Ciro Gomes (PDT),2,5,Católico,0,Diariamente,1,A Favor,MARABÁ,no,no,no
Urbano,67,Mujer,7,6,5,Jair Bolsonaro (PSL),2,11,Evangélica y Pentecostal,16,Diariamente,5,A Favor,PORTO VELHO,no,no,no
Urbano,38,Mujer,6,1,7,No Aplica,8,10,Otro,2,Diariamente,8,A Favor,MARABÁ,no,no,no
Urbano,35,Hombre,2,1,1,Jair Bolsonaro (PSL),1,11,Evangélica y Pentecostal,4,Algunas veces a la semana,1,En contra,BOA VISTA,no,no,no
Urbano,19,Mujer,7,1,3,No sabe,8,11,Evangélica y Pentecostal,5,Diariamente,8,A Favor,BOA VISTA,no,no,no
Urbano,18,Mujer,6,1,2,Otro,1,10,"Protestante, Protestante Tradicional o Protestante no Evangélico",5,Algunas veces al mes,7,A Favor,MANAUS,no,yes,no
Rural,40,Mujer,5,1,3,Fernando Haddad (PT),2,8,Católico,2,Diariamente,5,A Favor,MANAQUIRI,no,no,no
Urbano,63,Hombre,6,1,3,No Aplica,10,4,Evangélica y Pentecostal,2,Diariamente,1,A Favor,BELÉM,no,no,no
Rural,35,Mujer,7,3,1,No responde,10,5,Católico,2,Algunas veces al año,2,A Favor,CAMETÁ,no,no,no
Urbano,27,Mujer,6,3,3,Jair Bolsonaro (PSL),4,9,"Protestante, Protestante Tradicional o Protestante no Evangélico",2,Algunas veces a la semana,1,En contra,MACAPÁ,no,no,no
Rural,22,Mujer,5,2,4,Fernando Haddad (PT),10,8,Evangélica y Pentecostal,1,Algunas veces a la semana,1,En contra,CODAJÁS,no,no,no
Urbano,44,Mujer,4,4,4,Cabo Daciolo (PATRI),6,11,Evangélica y Pentecostal,2,Diariamente,1,En contra,PORTO VELHO,no,yes,no
Urbano,47,Hombre,5,1,5,Jair Bolsonaro (PSL),1,11,"Protestante, Protestante Tradicional o Protestante no Evangélico",15,Diariamente,2,En contra,MANAUS,yes,no,no
Urbano,40,Mujer,5,1,4,No sabe,6,11,Católico,3,Diariamente,10,En contra,BOA VISTA,no,no,no
Urbano,57,Hombre,6,2,6,Jair Bolsonaro (PSL),5,10,Evangélica y Pentecostal,16,Diariamente,1,A Favor,MANAUS,no,no,no
Urbano,49,Hombre,1,4,3,No sabe,10,1,Católico,2,Algunas veces a la semana,10,En contra,BOA VISTA,no,no,no
Urbano,50,Hombre,6,5,3,No Aplica,4,10,Evangélica y Pentecostal,4,Algunas veces a la semana,7,A Favor,BELÉM,no,no,no
Rural,16,Hombre,5,1,5,No Aplica,8,9,Católico,NA,Algunas veces a la semana,9,En contra,MANAQUIRI,yes,no,no
Rural,17,Hombre,5,1,7,No Aplica,1,10,"Protestante, Protestante Tradicional o Protestante no Evangélico",11,Algunas veces a la semana,1,En contra,SANTANA DO ARAGUAIA,no,yes,no
Urbano,55,Hombre,6,1,3,Cabo Daciolo (PATRI),1,3,Evangélica y Pentecostal,4,Algunas veces al mes,7,A Favor,PORTO VELHO,no,no,no
Rural,31,Mujer,4,6,5,Jair Bolsonaro (PSL),1,11,"Protestante, Protestante Tradicional o Protestante no Evangélico",3,Diariamente,1,En contra,SANTANA DO ARAGUAIA,no,no,no
Urbano,62,Mujer,7,1,2,No sabe,1,2,Evangélica y Pentecostal,11,Diariamente,2,A Favor,BOA VISTA,no,no,no
Urbano,41,Mujer,6,2,3,Jair Bolsonaro (PSL),1,17,Católico,14,Diariamente,1,A Favor,MANAUS,no,no,no
Urbano,33,Mujer,3,2,2,No responde,1,11,Católico,10,Diariamente,8,En contra,MONTE ALEGRE,no,no,no
Urbano,39,Mujer,7,1,5,Jair Bolsonaro (PSL),1,16,Católico,11,Diariamente,1,En contra,ITACOATIARA,no,no,no
Rural,64,Hombre,4,1,4,Ciro Gomes (PDT),3,5,Católico,4,Diariamente,3,A Favor,CAMETÁ,no,no,no
Urbano,16,Mujer,5,7,7,No Aplica,10,11,Ninguna (Cree en un Ser Superior pero no pertenece a ninguna religión),4,Algunas veces a la semana,10,En contra,MANAUS,no,no,no
Rural,32,Hombre,6,2,4,Fernando Haddad (PT),8,11,Católico,3,Diariamente,2,A Favor,CAMETÁ,no,no,no
Rural,58,Mujer,5,4,6,Fernando Haddad (PT),5,7,Católico,16,Diariamente,10,En contra,MANAQUIRI,no,no,no
Urbano,40,Hombre,7,5,7,Jair Bolsonaro (PSL),2,14,Católico,8,Diariamente,9,A Favor,MARABÁ,yes,no,no
Urbano,17,Hombre,5,2,5,No Aplica,8,9,Evangélica y Pentecostal,NA,Diariamente,10,En contra,BELÉM,no,no,no
Rural,67,Mujer,7,7,6,Otro,10,4,Católico,6,Algunas veces a la semana,1,No sabe,CAMETÁ,no,no,no
Urbano,34,Mujer,2,1,6,Jair Bolsonaro (PSL),1,11,"Protestante, Protestante Tradicional o Protestante no Evangélico",9,Algunas veces a la semana,1,A Favor,MANAUS,no,yes,no
Urbano,21,Hombre,6,4,5,Jair Bolsonaro (PSL),1,11,Católico,3,Algunas veces a la semana,5,A Favor,PORTO VELHO,no,yes,no
Urbano,65,Mujer,7,3,NA,Jair Bolsonaro (PSL),10,11,Evangélica y Pentecostal,13,Diariamente,10,A Favor,PORTO VELHO,no,no,no
Urbano,44,Hombre,4,1,7,Fernando Haddad (PT),8,11,Católico,14,Diariamente,7,En contra,PORTO VELHO,no,no,no
Urbano,35,Hombre,7,4,7,Jair Bolsonaro (PSL),1,11,Evangélica y Pentecostal,8,Diariamente,1,En contra,BURITIS,yes,no,no
Rural,57,Hombre,7,3,4,Jair Bolsonaro (PSL),1,5,Católico,0,Diariamente,1,A Favor,SANTANA DO ARAGUAIA,no,no,no
Urbano,37,Mujer,6,4,4,No responde,6,4,"Protestante, Protestante Tradicional o Protestante no Evangélico",4,Diariamente,2,En contra,MACAPÁ,no,no,no
Urbano,33,Mujer,6,3,4,Jair Bolsonaro (PSL),1,11,Católico,2,Diariamente,9,A Favor,MONTE ALEGRE,no,no,no
Urbano,26,Mujer,3,2,5,No Aplica,9,11,Católico,1,Algunas veces a la semana,1,A Favor,BELÉM,no,yes,no
Urbano,19,Hombre,6,4,4,Jair Bolsonaro (PSL),3,11,Evangélica y Pentecostal,2,Diariamente,5,A Favor,MANAUS,no,no,no
Urbano,53,Mujer,2,1,7,Fernando Haddad (PT),10,11,Católico,4,Algunas veces a la semana,1,En contra,SANTARÉM,no,no,no
Urbano,30,Mujer,1,1,1,Fernando Haddad (PT),1,11,Ninguna (Cree en un Ser Superior pero no pertenece a ninguna religión),1,Diariamente,10,A Favor,BELÉM,no,no,no
Rural,22,Mujer,7,7,4,Jair Bolsonaro (PSL),8,11,Evangélica y Pentecostal,12,Algunas veces a la semana,1,En contra,CODAJÁS,no,yes,no
Rural,43,Hombre,7,2,7,Jair Bolsonaro (PSL),1,0,Católico,3,Diariamente,1,A Favor,SANTANA DO ARAGUAIA,yes,no,no
Rural,70,Mujer,4,1,7,Jair Bolsonaro (PSL),5,8,Católico,13,Diariamente,10,A Favor,CAMETÁ,no,yes,no
Rural,34,Mujer,5,2,7,No sabe,7,4,Católico,1,Algunas veces a la semana,9,A Favor,CAMETÁ,no,no,no
Rural,26,Hombre,3,2,5,Álvaro Dias (PODEMOS),8,17,Evangélica y Pentecostal,6,Diariamente,1,A Favor,MANAQUIRI,yes,no,no
Urbano,22,Mujer,5,3,6,Jair Bolsonaro (PSL),1,11,"Protestante, Protestante Tradicional o Protestante no Evangélico",5,Diariamente,1,En contra,SANTARÉM,no,no,no
Urbano,19,Hombre,2,1,7,No Aplica,1,11,Ninguna (Cree en un Ser Superior pero no pertenece a ninguna religión),5,Diariamente,10,En contra,MONTE ALEGRE,no,no,no
Urbano,36,Mujer,6,3,6,Jair Bolsonaro (PSL),1,11,Otro,1,Diariamente,1,A Favor,MARABÁ,no,no,no
Rural,67,Mujer,1,1,6,Fernando Haddad (PT),1,1,Católico,4,Nunca,1,No responde,MANAQUIRI,NA,NA,NA
Urbano,73,Mujer,7,1,4,No Aplica,NA,4,Católico,NA,Diariamente,8,A Favor,MACAPÁ,no,no,no
Urbano,65,Hombre,NA,NA,6,No responde,NA,1,No responde,NA,Algunas veces a la semana,NA,En contra,MARABÁ,no,no,no
Urbano,34,Hombre,7,4,7,Jair Bolsonaro (PSL),1,16,Católico,1,Diariamente,10,A Favor,SANTARÉM,no,no,no
Urbano,38,Hombre,7,4,5,No responde,5,8,Evangélica y Pentecostal,4,Algunas veces a la semana,1,En contra,ITACOATIARA,no,yes,no
Urbano,55,Hombre,5,1,7,Jair Bolsonaro (PSL),1,11,Católico,14,Diariamente,10,En contra,MONTE ALEGRE,yes,no,no
Urbano,41,Hombre,6,2,7,Jair Bolsonaro (PSL),1,11,Evangélica y Pentecostal,15,Algunas veces a la semana,6,A Favor,MANAUS,no,no,no
Urbano,30,Mujer,6,1,5,Jair Bolsonaro (PSL),1,11,Católico,11,Diariamente,7,A Favor,MANAUS,no,no,no
Rural,47,Mujer,1,1,1,Fernando Haddad (PT),1,11,Católico,15,Diariamente,1,A Favor,SANTANA DO ARAGUAIA,no,no,no
Urbano,26,Hombre,5,1,4,Jair Bolsonaro (PSL),1,9,"Protestante, Protestante Tradicional o Protestante no Evangélico",6,Diariamente,5,En contra,MACAPÁ,no,no,no
Urbano,44,Mujer,6,5,6,Jair Bolsonaro (PSL),5,15,Evangélica y Pentecostal,14,Diariamente,1,En contra,RIO BRANCO,no,yes,no
Urbano,20,Hombre,5,1,7,Jair Bolsonaro (PSL),1,11,Católico,14,Diariamente,1,A Favor,MANAUS,no,yes,no
Rural,61,Hombre,7,3,4,Jair Bolsonaro (PSL),3,5,Católico,3,Diariamente,5,En contra,MANAQUIRI,no,no,no
Urbano,51,Hombre,7,2,5,Jair Bolsonaro (PSL),1,11,Católico,12,Diariamente,1,A Favor,MANAUS,no,yes,no
Urbano,48,Mujer,6,2,4,Fernando Haddad (PT),9,3,Evangélica y Pentecostal,4,Diariamente,6,A Favor,MANAUS,no,no,no
Rural,36,Hombre,7,4,6,Fernando Haddad (PT),1,3,Católico,1,Algunas veces a la semana,10,A Favor,CODAJÁS,no,no,no
Urbano,23,Mujer,4,4,6,Jair Bolsonaro (PSL),3,11,Evangélica y Pentecostal,8,Diariamente,7,A Favor,BELÉM,no,yes,no
Urbano,52,Hombre,7,3,5,Fernando Haddad (PT),2,5,Católico,7,Diariamente,1,No sabe,MACAPÁ,no,no,no
Urbano,34,Mujer,4,2,5,Fernando Haddad (PT),4,11,Católico,9,Diariamente,8,En contra,MACAPÁ,no,no,no
Urbano,18,Hombre,7,4,5,Jair Bolsonaro (PSL),7,8,Ninguna (Cree en un Ser Superior pero no pertenece a ninguna religión),2,Diariamente,9,En contra,PORTO VELHO,no,yes,no
Urbano,73,Hombre,7,1,7,Jair Bolsonaro (PSL),1,4,Católico,2,Diariamente,1,A Favor,MANAUS,yes,no,no
Urbano,38,Hombre,6,3,7,Jair Bolsonaro (PSL),9,11,Católico,8,Diariamente,1,A Favor,MANAUS,no,yes,no
Urbano,79,Hombre,7,4,7,No Aplica,1,11,"Protestante, Protestante Tradicional o Protestante no Evangélico",12,Diariamente,1,En contra,SANTARÉM,no,no,no
Urbano,29,Hombre,7,5,5,Jair Bolsonaro (PSL),2,11,Católico,4,Algunas veces a la semana,10,A Favor,SANTARÉM,no,yes,no
Urbano,17,Hombre,6,1,5,No Aplica,1,8,Católico,4,Algunas veces a la semana,9,En contra,SANTARÉM,yes,no,no
Urbano,45,Mujer,6,2,5,Jair Bolsonaro (PSL),2,11,Evangélica y Pentecostal,5,Diariamente,4,En contra,MANAUS,no,no,no
Urbano,22,Mujer,4,1,3,Jair Bolsonaro (PSL),1,11,Religiones Tradicionales,4,Diariamente,10,En contra,MANAUS,no,yes,no
Rural,18,Mujer,7,1,7,No Aplica,10,6,Ninguna (Cree en un Ser Superior pero no pertenece a ninguna religión),5,Nunca,10,En contra,CAMETÁ,no,no,no
Urbano,54,Mujer,1,1,7,Ciro Gomes (PDT),10,4,"Protestante, Protestante Tradicional o Protestante no Evangélico",14,Algunas veces a la semana,1,En contra,BURITIS,no,no,no
Urbano,23,Hombre,7,3,4,Jair Bolsonaro (PSL),5,11,Evangélica y Pentecostal,14,Algunas veces a la semana,10,A Favor,ITACOATIARA,no,yes,no
Urbano,30,Mujer,6,1,4,Jair Bolsonaro (PSL),4,11,Católico,3,Algunas veces al mes,3,A Favor,MANAUS,no,no,no
Urbano,29,Hombre,7,1,7,Jair Bolsonaro (PSL),1,11,Católico,10,Diariamente,1,A Favor,MARABÁ,no,no,no
Urbano,16,Mujer,3,2,7,No Aplica,2,8,Ninguna (Cree en un Ser Superior pero no pertenece a ninguna religión),6,Diariamente,10,A Favor,PORTO VELHO,no,no,no
Urbano,16,Mujer,7,1,6,No Aplica,6,8,Evangélica y Pentecostal,1,Nunca,1,En contra,MANAUS,no,no,no
Urbano,30,Mujer,7,1,2,Geraldo Alckmin (PSDB),1,6,Evangélica y Pentecostal,3,Diariamente,1,En contra,BELÉM,no,yes,no
Urbano,19,Hombre,4,1,2,Fernando Haddad (PT),10,11,Católico,9,Diariamente,8,A Favor,RIO BRANCO,no,no,no
Rural,70,Mujer,5,7,7,Jair Bolsonaro (PSL),5,1,Evangélica y Pentecostal,2,Diariamente,1,En contra,CODAJÁS,no,no,no
Urbano,59,Mujer,3,1,4,Jair Bolsonaro (PSL),1,11,Evangélica y Pentecostal,1,Diariamente,1,En contra,BURITIS,no,no,no
Urbano,18,Hombre,7,4,4,Jair Bolsonaro (PSL),1,9,"Protestante, Protestante Tradicional o Protestante no Evangélico",3,Diariamente,1,En contra,MACAPÁ,no,no,no
Urbano,47,Mujer,6,2,6,Jair Bolsonaro (PSL),1,16,Católico,12,Algunas veces a la semana,8,En contra,ITACOATIARA,no,no,no
Urbano,43,Hombre,7,1,4,Jair Bolsonaro (PSL),1,5,Evangélica y Pentecostal,9,Diariamente,1,En contra,BELÉM,no,no,no
Rural,38,Hombre,6,3,4,No Aplica,2,7,Católico,4,Diariamente,9,A Favor,MANAQUIRI,no,yes,no
Urbano,38,Mujer,2,4,5,No sabe,2,11,Católico,5,Diariamente,8,En contra,SANTARÉM,no,yes,no
Urbano,70,Mujer,7,1,1,No Aplica,10,4,"Protestante, Protestante Tradicional o Protestante no Evangélico",4,Nunca,1,En contra,SANTARÉM,no,no,no
Urbano,19,Hombre,7,1,7,Fernando Haddad (PT),10,7,Católico,4,Diariamente,10,A Favor,BELÉM,no,no,no
Rural,38,Mujer,7,4,4,Fernando Haddad (PT),5,7,"Protestante, Protestante Tradicional o Protestante no Evangélico",12,Diariamente,8,A Favor,CODAJÁS,no,no,no
Rural,63,Hombre,6,1,6,Jair Bolsonaro (PSL),3,8,Católico,3,Algunas veces a la semana,1,A Favor,SANTANA DO ARAGUAIA,yes,no,no
Urbano,68,Hombre,1,5,4,No Aplica,1,1,Evangélica y Pentecostal,7,Diariamente,10,A Favor,MONTE ALEGRE,no,no,no
Urbano,54,Mujer,7,4,6,Jair Bolsonaro (PSL),1,11,Católico,8,Diariamente,10,No responde,BELÉM,no,no,no
Urbano,59,Mujer,NA,2,4,Fernando Haddad (PT),6,2,Católico,3,Diariamente,5,En contra,MANAUS,no,no,no
Urbano,19,Mujer,4,1,7,Ninguno (anuló su voto),1,11,Evangélica y Pentecostal,4,Diariamente,4,En contra,BELÉM,no,no,no
Urbano,35,Hombre,7,4,5,Fernando Haddad (PT),10,7,Evangélica y Pentecostal,14,Diariamente,5,En contra,MANAUS,no,no,no
Rural,70,Hombre,7,6,5,No Aplica,9,0,Católico,10,Diariamente,4,A Favor,CAMETÁ,no,no,no
Urbano,41,Hombre,5,4,4,Ciro Gomes (PDT),1,17,Católico,15,Diariamente,8,A Favor,MONTE ALEGRE,yes,no,no
Urbano,47,Mujer,5,3,4,Ninguno (fue a votar pero dejó la boleta en blanco),3,11,Otro,3,Diariamente,1,En contra,BELÉM,no,no,no
Urbano,45,Hombre,1,4,4,Jair Bolsonaro (PSL),1,11,Católico,8,Algunas veces a la semana,6,A Favor,MACAPÁ,no,no,no
Urbano,24,Mujer,7,1,5,Jair Bolsonaro (PSL),1,14,Evangélica y Pentecostal,5,Diariamente,1,A Favor,RIO BRANCO,no,no,no
Urbano,29,Hombre,7,6,7,Ciro Gomes (PDT),7,11,Católico,3,Diariamente,6,En contra,BELÉM,no,no,no
Rural,60,Hombre,7,2,5,Fernando Haddad (PT),7,0,Católico,4,Diariamente,3,A Favor,CODAJÁS,no,yes,no
Rural,44,Hombre,7,3,5,Fernando Haddad (PT),10,4,Católico,1,Algunas veces a la semana,1,A Favor,CAMETÁ,no,no,no
Urbano,65,Mujer,6,3,3,No sabe,2,8,Católico,2,Diariamente,2,En contra,BOA VISTA,no,no,no
Urbano,48,Hombre,6,2,4,Jair Bolsonaro (PSL),1,3,Ninguna (Cree en un Ser Superior pero no pertenece a ninguna religión),2,Algunas veces a la semana,1,A Favor,BURITIS,no,yes,no
Urbano,75,Hombre,6,1,7,No Aplica,1,4,Católico,3,Diariamente,1,En contra,MONTE ALEGRE,no,no,no
Urbano,24,Mujer,1,2,4,Fernando Haddad (PT),7,17,Católico,16,Diariamente,10,A Favor,MARABÁ,no,no,no
Urbano,27,Mujer,3,3,5,Ciro Gomes (PDT),5,17,Católico,11,Diariamente,10,A Favor,MONTE ALEGRE,yes,no,no
Urbano,44,Hombre,6,4,4,Otro,1,5,"Protestante, Protestante Tradicional o Protestante no Evangélico",3,Diariamente,4,En contra,MACAPÁ,no,no,no
Urbano,18,Hombre,6,3,7,Jair Bolsonaro (PSL),1,11,Ninguna (Cree en un Ser Superior pero no pertenece a ninguna religión),12,Algunas veces a la semana,5,A Favor,BOA VISTA,no,no,no
Urbano,60,Hombre,5,1,3,Jair Bolsonaro (PSL),1,5,Católico,3,Diariamente,1,A Favor,MARABÁ,no,no,no
Urbano,62,Mujer,7,7,7,Ciro Gomes (PDT),1,0,Católico,7,Diariamente,10,A Favor,MACAPÁ,no,no,no
Urbano,20,Mujer,4,2,4,Jair Bolsonaro (PSL),1,11,Católico,4,Diariamente,3,En contra,MONTE ALEGRE,yes,no,no
Urbano,47,Hombre,6,3,5,Jair Bolsonaro (PSL),5,11,"Protestante, Protestante Tradicional o Protestante no Evangélico",3,Algunas veces a la semana,1,En contra,MANAUS,no,yes,no
